User Id,Datetime,Amount
517,02-10-2022 11:46,8700
980,02-10-2022 12:13,5000
190,02-10-2022 12:40,327
164,02-10-2022 12:42,5200
33,02-10-2022 12:49,8000
625,02-10-2022 13:25,14249
289,02-10-2022 13:56,8000
634,02-10-2022 13:59,268616
946,02-10-2022 14:00,12000
299,02-10-2022 14:59,46000
421,02-10-2022 15:44,10600
330,02-10-2022 15:49,4000
944,02-10-2022 15:55,550
634,02-10-2022 15:58,124600
515,02-10-2022 16:25,15000
473,02-10-2022 16:32,1500
78,02-10-2022 17:11,38000
421,02-10-2022 17:11,18200
196,02-10-2022 17:30,9000
421,02-10-2022 18:17,30000
907,02-10-2022 18:19,2792
936,02-10-2022 19:05,4598
508,02-10-2022 19:10,30000
338,02-10-2022 19:17,7000
836,02-10-2022 19:25,10000
978,02-10-2022 19:33,18001
497,02-10-2022 19:37,10000
16,02-10-2022 19:45,10842
97,02-10-2022 19:54,5000
907,02-10-2022 20:10,1801
663,02-10-2022 20:27,8656
397,02-10-2022 20:31,1000
153,02-10-2022 20:35,10472
855,02-10-2022 20:41,5000
888,02-10-2022 20:48,2000
9,02-10-2022 20:55,11895
754,02-10-2022 21:26,13614
461,02-10-2022 21:31,9000
517,02-10-2022 21:36,7774
944,02-10-2022 21:38,500
659,02-10-2022 22:00,10000
39,02-10-2022 22:02,25701
137,02-10-2022 22:36,10000
168,02-10-2022 22:38,3000
920,02-10-2022 22:39,12000
754,02-10-2022 23:01,6117
825,02-10-2022 23:08,5000
164,02-10-2022 23:17,4650
421,02-10-2022 23:34,37300
852,02-10-2022 23:43,9300
542,03-10-2022 00:27,204305
836,03-10-2022 00:35,4000
31,03-10-2022 00:48,1596
200,03-10-2022 01:09,35000
31,03-10-2022 01:12,1422
967,03-10-2022 01:32,4800
370,03-10-2022 02:01,800
508,03-10-2022 02:02,15000
924,03-10-2022 02:24,20000
625,03-10-2022 02:29,9000
930,03-10-2022 02:38,24000
2,03-10-2022 02:39,117349
16,03-10-2022 02:50,11224
663,03-10-2022 03:02,9048
541,03-10-2022 03:10,6000
505,03-10-2022 03:13,5000
852,03-10-2022 03:27,1612
548,03-10-2022 03:28,200
